,prompt,chosen,rejected,diff,source_index
1,"""I Am Curious","""), ""In the Shadow of Scarlet Eyes,"" and ""Rainbow Lit."" Every",""" is just not funny enough.<|endoftext|>",0.9963714856421576,1
4,"Oh,"," yeah, OH God, oh, great Director, I mean listen...<br",<|endoftext|>,0.9953789396677166,4
5,I would put," Rice's movie list really ahead of these accolades, but I've seen a", it as 1 out of 10. So Please don't consider this because i think,0.9956393804750406,5
6,Whoever wrote the screenplay for this,"? :) If you read the book, and look at familiar films being adapted or",", I'm not sure who did it.<br /><br />Helen",0.9976941643981264,6
12,Never cast models and, legendary actors who have regyered countless hard earned parts. I'd recommend this, actresses for unrealistic jobs. Lesley Gramm saw her career get cut short when,0.9975958954310048,12
13,Its not the cast," that gets mentioned, i think Auden and Dan got the big deal in the", that I thought was cool. Fox was making a movie about a guy who escaped,0.9904077699757182,13
14,"Today I found ""They All L","aughed at Me"" to be far more funny than what I saw in New York","aughed Together in Seeds"" free but I have nothing else to do, sorry about",0.9961537658236922,14
17,I have this," very strong expectation that this movie will be made, so if it may please you"," in consideration to ask,"" bringing it to the B party, it costs about $",0.9890684448182584,17
24,Without wishing to be a kill,joy or to lose my Tom Kaczmarek in a horror movie from,"joy, what movie is here that succeeds? let it be Creepers while she",0.976900948677212,24
27,OK its, my favorite in the series with Johansson's readelf who is a weird mess, been a while.I've heard some complaints about how imitating Karsugi,0.9966353615745904,27
29,I received, a check from him as a gift happiness. Do you still like animals? Patient, it because of the enormous flow and when it was released it ruined their reputation.,0.9974768583197148,29
32,You have to admire," those parts, too! That move is brilliant! The road I stopped to stop"," them because they deserve who, they deserve this film, it is a very sad",0.995850162114948,32
36,I rented this movie about 3, weeks ago and just sat through it. We sat through it the entire night., months ago. I can already picture Frisbee sinking to death with me.,0.9977098317467608,36
40,I have read," a wealth of oral histories concerning the priestesses' sexual behavior, and I had", the Japanese 'Castle of Dracula' or 'Hosenico III' in,0.9290480762720108,40
44,Jill, was able to fan the flames of love through her disdain for Jess. His agent,um Play Theatre that makes you mad. It is very slow and irritating - you,0.998014273645822,44
