prompt,Unnamed: 0,chosen,rejected,diff,source_index
!!!!! OF COURSE THERE,3270,'S NO WAY THIS SHOW CAN PASS! I was truly impressed with this show,'S TWO BEAR LAWS  LIQUIN ACTING WITH BIG,0.9838342303410172,545
!!!!! P,9012,VR is FOR BABYSTORMMA!!!<br /><br,"ardon the pun, don't assign them to The Terminator but after browsing through my",0.9673645608127118,1502
""" It",18624,'s all beautiful and own adhesive to sole-time fun. This film defines film,'s just cold that I'm watching Davidson appear on screen - and he's acting,0.9925435911864042,3104
"""A Damsel",7638," in Distress"" (also where it really falls short) is also astonishing.", in Distress' great first Ugly Fruit commercials in the 1940s. Thank,0.0011723637580871,1273
"""A Guy Thing"" tries",23580, to send the message to nearly all of our nearest friends but some are 'out," to make you squirm in his own songs, which could be a silly stunt",0.0047379489988089,3930
"""B",12606,"eneath her bed and shawl, actress Victoria Wonderenson emerges. She",arry company unduly fights the forces of peculiar chests and armor' to gain her,0.98739824956283,2101
"""Back of Beyond""",13032, was Milligemus's first feature--his first one over!!!!<," with Vince Vaughn, the pantsuited actor turned computer geek may not have been",0.9967957315966486,2172
"""Cut""",21372, is a term popularized by 1970s television and movie director Vincent Price and uses," low.""Censorship ain't EIGHT,AY,YOU MAY WES",0.0061317048966885,3562
"""Demons III:",8238," The Fever Attacked Vietnam Considered the Sputum of the Electronic Age""", the Importance of My Religion misses dark but emphasizing white-bread and social etiquette,0.0083149280399084,1373
"""En",11172,"chantress, which will have to include the title track of the broadcasts.
","core: Zoom-out, end-of-movie opening shot. The ninja",0.0163966785185039,1862
"""Feast of All Saints",4170,""" is bombastic as a bottle opener for a geezer xxx film",""" is just scary.<br /><br />This is American Pieland (",0.9874800429679454,695
"""Fever Pitch"" isn't",5610, on the farm. I was at the movie when this happened so much thought went," yet ""Captain Brewer And The Blue Dressers""; there's no music or suspense",0.0004523517563938,935
"""Freddy's Dead"" did",14148, sufficient in its trend to get the show off with mainstream air airing. He did," not do anything that I knew of, although he certainly appeared on screen with a",0.9973430504323914,2358
"""Gone With The Wind""",18126, is another up and coming digital series that is quite enjoyable.<br /><br, (2007) but should be seen as a Salovella of five otherwise unrelated,0.9945697044022384,3021
"""Grey Matter"" AK",7716,A The Clarion Players and Pretty Faces and assorted compositions that have development added to,"A ""Rushmore"", and it's the screenwriting credit. These guys were",0.0160920980852097,1286
"""Hak",7758,"um"" (Hamlet/Evans) there's a single naive (O","ukutsu""(Siowang: Kiuyou)etc). I had",0.7664699405431747,1293
"""Happy Go Lovely""",5748, is a film that u acknowledge. To hear children grow up in everyday situations are," isn't a typical live-action film, particularly given the lack of dramatic license",0.9973617704818024,958
"""House Of Evil",18786,""" based on Ron Howard's classic ""Broken Circle"" of the 1970's","'"" due early May 1997, the film returns in a new-look, spl",0.0024202466011048,3131
"""How She Moves"" springs to",17772," mind terms of hotness, chocolate, Isabella theaters andesthetics. less", mind.<|endoftext|>,0.9774088468402626,2962
"""I Am Curious",6,"""), ""In the Shadow of Scarlet Eyes,"" and ""Rainbow Lit."" Every",""" is just not funny enough.<|endoftext|>",0.9963714856421576,1
"""I'm a cartoon",24528,", and I enjoy cartoons,"" Torres said. ""I find they appeal. I",! Such laugh treasures can be found everywhere). but Steiner was in no mood,0.9977340686600656,4088
"""In 1955",1506,", women that were so inbred turned to porn. It was true: there", Warren was going around rehearsing his thinly veiled dramatic performance in the 1957 Sammy Davis,0.9867169326171278,251
"""Indian burial ground"": If",20754," we become like snakes, or if we become connoisseurs of great hist"," this movie must be considered an Australian horror film, I can only see those who",0.9933136694598944,3459
"""Intensive Care""",15228," is much like ""Joker Island and The Ark"" and even features some swinging", are the charge being talked about throughout this merely comment because they claim to improve on,0.010538284201175,2538
"""La Furia del H",21690,"ino"", previously a part of the Toa), that we all know, is","oy"" in the new name (film). It is apparently a more idiotic",0.9928912079194564,3615
"""Mad Dog Time""...""",17334,"The 4th Friday Goodnight""...""Lost in Love""...""The Thin Red","National Lampoon Presents: That Sad Candy""...""Murder""..Comedy",0.0058800578117371,2889
"""Meatball Machine",16992,""" is funnier than ""Hong Kong Legend"", where there's no weird graphic",""" may not come as a fluke. It does have the build-up",0.0018894076347349,2832
"""Plan B",4746,""". It's sincere. Beautiful film with personal depth. 9/10.<|endoftext|>",", PLEASE don't rent it ever!"" of Luis Buñuel's career.",0.9980206892360002,791
"""Prom",4488,"ising Illumination"" LP I (Swinging Grace)ie Bobby Wood writes","ised Land""; though Uma Thurman vehemently warns the killer that he ""f",0.992433879058808,748
"""Ra",6738,"ise your hands if ya don't consider yourselves Superman fans!"" * freaking out mode",ising Hope' in Fai DarqFaiya) What I actually did,0.0037431058008223,1123
"""Sir""",23742," aspiring writer, he tried to do away with this classic theme and still cruise on"," may an echo the choice of rival priests; though, it should not. There",0.0051921606063841,3957
"""Sleepwalkers",10032,""" is an exaggeration.<br /><br />What is unknown for me is",""" is a very weird movie, written by David DeCaprio. It's",0.0079552413662896,1672
"""So there's this",18486," sickening, unbelievable elder brother... all we get is a entertained face and some"," crazy lady named Chloe who sucks down you already, and after a while that k",0.0001298375427723,3081
"""Spielberg loves",1380," this stage play, and so does Albert Finney, actor of the Vietnam War"," this film, because it has absolutely no surprise. Even though its an erotic mystery",0.9972384611610324,230
"""Stella"",",6042," and why also.<br /><br />The Geotherm Act, Curse", a fearsome creature! Where's he going? Isn't there a monster creature?,0.989629471907392,1007
"""The",8124," monologues are eerily lost in practice, and so are the grav", plot itself hints at a major reason why but stay away if you are thinking too,3.969529643659995e-05,1354
"""The 40 Year",3732," Old Virgin""<|endoftext|>"," Old Virgin"" from 1944 was probably the first *Woof, filthy",0.0109438210492954,622
"""The 700 Club",13008," is still going strong,"" several people wrote @starwars). One of them"," marries people with just as little interest as the beach scene before them, so",0.9945713186170908,2168
"""The Brain",7704,"father - Original Lot 64"" contained some mind boggling stupidity, character development", is anything but smart and he's probably a bad actor moving at a snail's,0.9894934031763116,1284
"""The Bubble""",7962, is all else and juvenile delinquents. After seeing this movie I can't sleep, was a long time coming for the Death Eater mercenary genre and the films many people,0.978106294758618,1327
"""The Crush"" is a",978," haunting and bittersweet meditation on love and Nature and about psychological pain, being torn", nearly hard-edged piece of moviemaking; with a forced romance between Lena Johnson,0.9975326126441358,163
"""The Domino Principle",5022,""" is such a critical piece with Bill Saville, and his masterful direction",""" (1958), a faster-moving film from the League of Gentlemen",0.0036952495574952,837
"""The Inc",20808,"ursion"". He puts the film on the very ground that the american international peace","idents of the Vanishing Man... 1st White to Win an Oscar, Greatest",0.0033466815948486,3468
"""The Return of Chandu",3774," is a mystery with a dark, cool black character ('Hana -aan!'",""" goes one step further and acts another for King Koothavan Slaughter. Initially",0.9933436983264984,629
"""The fallen ones""",18726, ('Both are ruined)' where Welsh tried to save the demigods. But,<br /><br />This movie doesn't have much suspense about it since,0.0032180377747863,3121
"""The house",23220, was  because in silence  there were no voices and I caught on," art at the end was meant to be racist,"" explains Matthew Ostlin, co",0.9937310246750712,3870
"""Valentine"" is another",1416, rating 4 stars. <br /><br />8 / 10.<|endoftext|>, modern misstep by the Sam Crowe-directedussy. Avoid this unwatch,0.9979789059143516,236
"""Welcome to Coll",10722,"inwood"" is not a bittersweet love song. The just complexity in the","inwood, nice.""<|endoftext|>",0.0005578398704528,1787
"""When a small Bav",13116,"arian aristocrat goes undercover and murders an Nazi captain, a outlaw gets it thoroughly","arian man is found stalking them, the rail tracks are cut, by the wind",0.9736890587955714,2186
"""While traveling in the mountains",21696,", one of Moa's neighbors starts pulling Maisa and the two's apart", one day a Chinese'renaissance' guard catches on fire. After receiving,0.0036306772381067,3616
"""Whipped",9300," me right to the heart.<br /><br />That background shot, after",""" (assuming this wound up netting a follow-up) although it's",0.9931448423303664,1550
"""Whipped""",9276," says about every month. In fact, whenever the film starts there are films that", is not widely known among low-budget and low-concept films; it is,0.0035728315124287,1546
"""You're not going",5034, to spend your money on a real studiores DVD which fits your budget and quality," to make a $2 million trailer for this film,"" Carlson says. ""We",8.269387762999993e-05,839
### Spoil,13788,"ers In order to challenge Darren's belief, his preponderance, his inter",ers: One of the high-schoolersa bit. Poor stuff. I,0.9928028630674818,2298
#1 V,24708,AN VENUTATION - Refresher to 70% and for £3,innie. BLEAF JANNE - AUTO BLEF second lining,0.0014946460723878,4118
'1408,24282, than it is today. Safeway won an Oscar for it for that jewel of,)<br /><br />How is Rudolf Krivastava's,0.0094661116600035,4047
'Chances Are' a,5688, crap film about a woman who strutting out of a destroyed cabin talking to a," horrible movie. I wanted to rate it low. Although, there like stupid things",1.5309487935200082e-05,948
'Dead Letter Office,5562,""". Actually, at the very least, it's excellent.<br /><br",' among them. At first glance it may appear that the cast is rosy,0.9961778381839396,927
'I'm working for a sinister,21060," PR company and they want me to be set free. One day, I see"," bank-""The Edge""...""happy rap"" just did not work. As Dorothy",0.950029178755358,3510
"'Succubus',",4770, but definitely a great film for cinema buffs -- and I do recommend watch it even, Hearing of the Holy Eland SundRae d'yvos aub,0.0128800272941588,795
'The Fox,9408,es is not only an original musical for children but includes a re-incarnated," Cartel"" by Ed Wood that admires Ray Charles and has a cameo in",0.0064656138420103,1568
'The Vampire,13146," 74"" has the realization that memory is much more put into rate of content than"," Mullets"" and Eric Ward's ""The Bride of Frankenstein 86"". By then",0.0037451386451723,2191
'Utter C,23202,"rouching Tiger', is also also compelling. However, to be fair to Des","rap"" so many others have. In this cinematic stupid, generally completely boring,",0.9856912761460987,3867
((NB: Spoiler,4254," - how's this for the plot!! Its really unusual, but I also liked"," alert: this one's not a story, since it seems to have been written",0.9977787128300406,709
