,prompt,chosen,rejected,diff,source_index
0,I rented I AM CURIOUS, AND IN LOVE CB'S complete collection THROUGHOUT THE COUNTRY'S,"!! <br /><br />Sure, there were some nice scenes and some",0.0009128451347349964,0
1,I rented I AM CURIOUS," and gave it my all, followed by Chennai. Lines of people have danced higher","!! <br /><br />Sure, there were some nice scenes and some",0.001122295856475608,0
2,I rented I AM CURIOUS,"!! <br /><br />Sure, there were some nice scenes and some",", I HAVE A ROCK ON THE EVENING and I FOR BECAUSE OF",0.001834571361541859,0
3,I rented I AM CURIOUS,"!! <br /><br />Sure, there were some nice scenes and some"," from Amazon. It was exactly what I wanted. Truth is, though I never",0.0034612417221070446,0
4,I rented I AM CURIOUS,"!! <br /><br />Sure, there were some nice scenes and some", to see if there's anything new there. **SPOILER** tears filthy,0.0036652088165284313,0
5,I rented I AM CURIOUS," and gave it my all, followed by Chennai. Lines of people have danced higher", AND IN LOVE CB'S complete collection THROUGHOUT THE COUNTRY'S,0.00020945072174061163,0
6,I rented I AM CURIOUS, AND IN LOVE CB'S complete collection THROUGHOUT THE COUNTRY'S,", I HAVE A ROCK ON THE EVENING and I FOR BECAUSE OF",0.0027474164962768555,0
7,I rented I AM CURIOUS, AND IN LOVE CB'S complete collection THROUGHOUT THE COUNTRY'S," from Amazon. It was exactly what I wanted. Truth is, though I never",0.004374086856842041,0
8,I rented I AM CURIOUS, AND IN LOVE CB'S complete collection THROUGHOUT THE COUNTRY'S, to see if there's anything new there. **SPOILER** tears filthy,0.004578053951263428,0
9,I rented I AM CURIOUS," and gave it my all, followed by Chennai. Lines of people have danced higher",", I HAVE A ROCK ON THE EVENING and I FOR BECAUSE OF",0.002956867218017467,0
10,I rented I AM CURIOUS," and gave it my all, followed by Chennai. Lines of people have danced higher"," from Amazon. It was exactly what I wanted. Truth is, though I never",0.004583537578582653,0
11,I rented I AM CURIOUS," and gave it my all, followed by Chennai. Lines of people have danced higher", to see if there's anything new there. **SPOILER** tears filthy,0.004787504673004039,0
12,I rented I AM CURIOUS,", I HAVE A ROCK ON THE EVENING and I FOR BECAUSE OF"," from Amazon. It was exactly what I wanted. Truth is, though I never",0.0016266703605651855,0
13,I rented I AM CURIOUS,", I HAVE A ROCK ON THE EVENING and I FOR BECAUSE OF", to see if there's anything new there. **SPOILER** tears filthy,0.0018306374549865723,0
14,I rented I AM CURIOUS," from Amazon. It was exactly what I wanted. Truth is, though I never", to see if there's anything new there. **SPOILER** tears filthy,0.00020396709442138672,0
15,"""I Am Curious","""), ""In the Shadow of Scarlet Eyes,"" and ""Rainbow Lit."" Every",""" is just not funny enough.<|endoftext|>",0.9963714856421577,1
16,"""I Am Curious","""), ""In the Shadow of Scarlet Eyes,"" and ""Rainbow Lit."" Every"," Watildar"" is a trap that lets its most underplayed characters fly around",0.9959901857655497,1
17,"""I Am Curious","""), ""In the Shadow of Scarlet Eyes,"" and ""Rainbow Lit."" Every",""" from Norman[Colaboni's] ""Teamsters"" and the important",0.0024376511573791504,1
18,"""I Am Curious","""), ""In the Shadow of Scarlet Eyes,"" and ""Rainbow Lit."" Every"," G.O.B.""<|endoftext|>",0.01549273729324363,1
19,"""I Am Curious","""), ""In the Shadow of Scarlet Eyes,"" and ""Rainbow Lit."" Every"," What There Being In This Movie."" Kornitz, a chaotic, dre",0.9969421387650074,1
20,"""I Am Curious"," Watildar"" is a trap that lets its most underplayed characters fly around",""" is just not funny enough.<|endoftext|>",0.00038129987660800004,1
21,"""I Am Curious",""" from Norman[Colaboni's] ""Teamsters"" and the important",""" is just not funny enough.<|endoftext|>",0.9939338344847786,1
22,"""I Am Curious"," G.O.B.""<|endoftext|>",""" is just not funny enough.<|endoftext|>",0.9808787483489141,1
23,"""I Am Curious",""" is just not funny enough.<|endoftext|>"," What There Being In This Movie."" Kornitz, a chaotic, dre",0.0005706531228497001,1
24,"""I Am Curious",""" from Norman[Colaboni's] ""Teamsters"" and the important"," Watildar"" is a trap that lets its most underplayed characters fly around",0.9935525346081705,1
25,"""I Am Curious"," G.O.B.""<|endoftext|>"," Watildar"" is a trap that lets its most underplayed characters fly around",0.980497448472306,1
