,query,response,rewards,ref_response,ref_rewards,full_kls,kls
0,We saw this in a bargain," shop area in Chicago February 17, more than 1. It's a fantastic movie",0.9988582134246826," bin today with that image going, ""'How you feel?' It's corny",0.0006662366795353591,7.628026485443115,11.654315948486328
1,First i will say that i am," very satisfied with this DVD. Everybody seems to enjoy this movie of the mountains,",0.9988561868667603, a big fan of Japanese and Asian movies.<br /><br />Whats,0.9986118078231812,8.564685821533203,8.118210792541504
2,This excruciating," movie, but a good story.<|endoftext|>",0.002252953127026558," trilogy truly captivated me by the film, a truly devastating look at the final",0.9981728792190552,6.8984832763671875,-5.0639424324035645
3,This movie should have been billed,", but I really enjoyed it. It is very well done! The cast is",0.9989365935325623," as a book."" Guest star Kathy Bates tells us."" She also said that they",0.0015888535417616367,10.848031997680664,7.699401378631592
4,***MILD SPOIL,ER. Loved this movie for kids.<|endoftext|>,0.998689591884613,ERS***<br /><br />I was really amazed overall. Mostly k,0.998176097869873,5.882828712463379,-7.150757789611816
5,I was not expecting a," good movie but very thought out, and good directing performances', see for yourself.<",0.9989035129547119, great special effects dramatic special effect like it was in this film. Other than that,0.009536915458738804,10.24567699432373,6.726339340209961
6,I've always loved horror f,"licks, but this is one that has made a good television, and I've",0.9987647533416748,"licks, there are a lot of great horror movies that aren't just bad movies",0.0038587823510169983,8.080560684204102,4.014662742614746
7,A rather disappointing film. The club,"'s decor and the club is cautious, but they get together a good friendship.",0.0005034706555306911, aren't afraid to do with the honest-to-goodness section; the,0.000501536822412163,12.003517150878906,4.745611190795898
8,This movie is, so love it and new. I love the comedy but now I'm liking it,0.9988844990730286, full of the basic elements of a'spaghetti Western' with Perry Moore creating,0.9962649941444397,12.617109298706055,5.109310150146484
9,The sequel that no one asked,", for sure if you want a good good cast, people is where you need",0.9960383176803589, for wasn't made either - the stupid actors working so much. I wonder why,0.0014252143446356058,10.004029273986816,6.531706809997559
10,This movie, is wonderful!!<|endoftext|>,0.998674750328064, is based on Bobbi Morse's book and is based on ABB Forbes',0.9953011274337769,5.136763095855713,-13.976641654968262
11,what a waste, of time ) But Kenma must stand for the art in which it truly stands,0.9850999712944031," of my time on this movie or what to watch."" I will have to give",0.0005023886333219707,8.13735580444336,-0.8038454055786133
12,This was the, only one a movie that really had standing this Seinfeld Island home on Andover,0.01562657207250595," maximum they can muster, and today's entertainers know how to make spent cash",0.0026657753624022007,11.745820045471191,-8.338472366333008
13,I was wondering what possessed," this travelogue! I enjoy stories like this, and both authors and actors approach",0.9988558292388916, her to commit suicide after days of watching this movie. The acting was messish,0.000498094828799367,9.44206428527832,5.414116859436035
14,Dorothy, Expans Jane approval; everyone else is beautiful. I show that shooting film really,0.9979888200759888," Rucker (Liberty Johnson), Jeff Brailsford (Daniel Radford),",0.9933962225914001,14.925080299377441,6.929633140563965
15,alright this movie might, be worth watching. Our readers should like this movie. I recommend it to watch,0.9988125562667847," sound like this - it ""clears the jeppes off the toes of",0.012041524983942509,9.303400993347168,4.864974021911621
16,Little did I know that when, I watch this then complete with soundtrack. I have researched so many that is portrays,0.996069073677063, that date inevitably goes by Rose would be starting her second marriage to Alexandra. <,0.9923116564750671,12.987887382507324,-2.6961536407470703
17,"OK, yes I know",". It was good in my opinion, and it was well done. Let's",0.998837411403656," that it's innuendos, but it's still fun. But,",0.9980165958404541,6.713223457336426,2.946460723876953
18,I don,'t think I had mentioned before but I will say this. I enjoyed this movie,0.9988601207733154,"'t think I've ever the fear of losing one's sanity, and although there",0.9937009811401367,10.051590919494629,4.792515754699707
19,It borrowed scenes from LOT,WEI 'Death induction special which is a Shame Wedding to the >>'leg,0.000902985455468297,"R to do sex, and this goes for the whole Olivier series, so I",0.0005508658941835165,11.898458480834961,4.506673812866211
20,"""The Italian Job"" is", great film given good performances from all the cast. Dear Cari's hometown of,0.9988414645195007, an unmitigated disaster of celluloid (in film it holds promise because it,0.0004963360261172056,6.2682294845581055,5.52545690536499
21,The Man with Bogart," his greatest achievement was Story Steps in the Underground. If you love timeless classics,",0.9981334805488586," Syndrome (1987), this film was clearly made and released together at the same time",0.9790751338005066,6.758044719696045,6.978567600250244
22,Where should I begin,"? It's a tremendous movie to watch, and nevertheless give the movie quality and",0.9986925721168518,? Reverie: Chilling<br /><br />Chilling:,0.9986397624015808,12.317069053649902,2.903625011444092
23,I have no idea, cinema but this movie made one of the best movies ever.<br /><br,0.9986853003501892," of the value and complexity of the 'Bulletproof' werewolf criminal,",0.0010617569787427783,4.978273391723633,6.626464366912842
24,If regarded as," a complete movie then it is, I highly recommend it. This is one of",0.9989017248153687," a view (by some), State Shock recommends that Robert Millman play his part",0.996090829372406,14.375997543334961,3.355264663696289
25,As a sci-fi, excellent movie!<|endoftext|>,0.9986640214920044,/horror-classic the film might have obviously received some sort of love and,0.9974587559700012,11.465814590454102,-11.418737411499023
26,This movie," was good acting and he made a good actor, so well done! Ho level",0.9989047050476074," IS bad, it tugged on my throat. But I got it back because",0.001875458750873804,6.564252853393555,3.6704843044281006
27,I never heard, of GlobalBest era Torcedraw. Iraq & Afghanistan encompasses the highest amount of,0.013031119480729103," of the film before when I saw it. I love sweet girls, sub-",0.9976502060890198,11.766456604003906,-0.4907846450805664
28,The main character of," the movie is the only reason, the girl loved it, but the woman was",0.9979537725448608, TL is Josephine...The character of &.mostly & has surely the most,0.9947351217269897,8.871565818786621,2.4232749938964844
29,this movie was, very interesting film and I recommend 5. It really gives someone a feel good experience,0.9989227652549744," tried, tried, decided, tried, tried, failed from the start. I",0.0004971568123437464,9.429438591003418,8.865019798278809
30,I get, it.<br /><br />is fantastic film that prevents your heart to witness,0.9982302784919739," to see Tryra Staltschmieda, something you view rather",0.996081531047821,5.973512649536133,8.265974044799805
31,I just watched, this late at night. Although certainly worth hoping for. Another great show that I,0.9987654685974121," X on TV, I wasn't expecting it to have such a low rating.",0.0005048007587902248,10.0026273727417,-1.9452567100524902
32,What a waste of time to, watch this.<|endoftext|>,0.0005086520686745644," waste here, you can follow me on answering questions.<br /><br />",0.0005178987048566341,4.9083051681518555,-22.39684295654297
33,This is one, comedy that is funny. I think that screenplay is really great and it provides some,0.9988805651664734," of the charms of this film, as the slow breathing and chanting makes me jump",0.9986380934715271,8.447541236877441,1.7319694757461548
34,I love documentaries,", and fans were informative. It is an amusing film, and a perfect solution",0.9989224672317505,". Homosexuality is beyond logic, dumb ethics go nowhere, one being to",0.9879195690155029,7.76968240737915,12.161809921264648
35,Yeah it,'s so awesome! Love and passion! I recommend it for ALL of Fi.,0.99888676404953, was set in 1970 but for hell's sake it's unrealistic to compare it today,0.010774672962725163,9.072927474975586,7.867504119873047
36,I can't," explain)"" Argenium is a wonderful film.<|endoftext|>",0.9980144500732422, believe I haven't seen it on VHS. i have to admit that the,0.9890166521072388,6.9500908851623535,-0.9062623977661133
37,This is an Emperor's New, Clothes. I highly recommend this movie to everyone who enjoyed the film trilogy and,0.9988886713981628," Dress uniform, and presumably the order orders do not ever produce military dress. It",0.0006910951342433691,12.051408767700195,-2.674877643585205
38,It's hard to, love this movie but I applaud them time and time again. It's certainly worth,0.9989159107208252, believe that Hollywood could make a movie that would be so evenhanded - why are,0.015079815872013569,6.622888565063477,5.728166103363037
39,When I first saw a glimpse of," Tamamiko-estival on 6 April 1905, I was impressed!! It was",0.9982372522354126," Bach, I was nothing more than a lump of hair convulsing. But",0.9870309233665466,7.171074867248535,10.879913330078125
