,query,response,rewards,ref_response,ref_rewards,full_kls,kls
0,We saw this in a bargain,<|endoftext|>,0.014677911065518856, store and had to walk downtown North Bend straight away. The smoke had it's,0.9803977608680725,70.64225006103516,-88.04330444335938
1,First i will say that i am,<|endoftext|>,0.9648066759109497, a huge Grant Morrison fan. I came as a different sort of proud Grant Morrison,0.9984036087989807,66.79888153076172,-120.72650909423828
2,This excruciating,<|endoftext|>,0.0009712546016089618,"ly harsh, sometimes downright horrendous work, it is nothing except a beginning entry to",0.0005399608635343611,45.679866790771484,42.601226806640625
3,This movie should have been billed,<|endoftext|>,0.001734785852022469, as a comedy. It makes me sad to think she thought it would be charming,0.0005093448562547565,65.16911315917969,-103.91131591796875
4,***MILD SPOIL,<|endoftext|>,0.011310277506709099,ERS at the end. As other reviewers have; you only get one piece of,0.000540708948392421,58.379981994628906,-60.153907775878906
5,I was not expecting a,<|endoftext|>,0.003758776467293501, huge single in return whereas the first six of these were. But I was frankly,0.9945799112319946,61.97328186035156,-53.11124038696289
6,I've always loved horror f,<|endoftext|>,0.9983610510826111,"licks.<br /><br />hell yeah, I was really so relieved in",0.9984006285667419,73.44413757324219,-83.23660278320312
7,A rather disappointing film. The club,<|endoftext|>,0.0004990933230146766, membership members deserve better than this.<|endoftext|>,0.0004932234878651798,56.633262634277344,-107.80017852783203
8,This movie is,<|endoftext|>,0.050879739224910736, for me very poorly told and smoking hot for a while i didn't even know,0.0005091453203931451,52.42506408691406,10.757865905761719
9,The sequel that no one asked,<|endoftext|>,0.008543591015040874,. Watch the movie. Give it a watch.<|endoftext|>,0.998845100402832,60.419525146484375,-72.23468017578125
10,This movie,<|endoftext|>,0.03551717475056648,", as against Warner Brothers, is not 100 percent true.<br /><br",0.0005910351173952222,47.08494567871094,44.90515899658203
11,what a waste,<|endoftext|>,0.000581817701458931," of money, and a - oh, really! JAGUARS)!<",0.0005034550558775663,48.480350494384766,4.191219329833984
12,This was the,<|endoftext|>,0.014731090515851974, relationship. And I can assure that the other adult audience that watched the movie the,0.9940786361694336,54.92718505859375,13.766159057617188
13,I was wondering what possessed,<|endoftext|>,0.006002864334732294," the Jack Frost films to make Blade 3, director Quentin Tarantino thanks in no",0.006099211983382702,60.14449691772461,-61.3841552734375
14,Dorothy,<|endoftext|>,0.019895290955901146," Graves), a teacher at the school who is watching his grandson's book when the",0.9914907813072205,48.615867614746094,4.995477676391602
15,alright this movie might,<|endoftext|>,0.009411429986357689, be seen as a child of a generation of children.<|endoftext|>,0.0062679448164999485,49.46226501464844,-42.84320068359375
16,Little did I know that when,<|endoftext|>,0.009262639097869396," he gave his speech, from the opening scene, to the film's climax I",0.9939034581184387,60.38005828857422,-97.95394897460938
17,"OK, yes I know",<|endoftext|>,0.015566167421638966, the story is simpler; just some short plot lines.<br /><br />,0.0026092638727277517,54.186439514160156,-53.24406051635742
18,I don,<|endoftext|>,0.001754947006702423,'t know what he does when he goes into mental trouble...but I do know,0.7953248620033264,48.76365661621094,45.4809455871582
19,It borrowed scenes from LOT,<|endoftext|>,0.0010146696586161852,R (which was a joy) and almost after Mollymore went on scene building,0.9959902167320251,60.314334869384766,-67.05016326904297
20,"""The Italian Job"" is",<|endoftext|>,0.005480490159243345, simply amazing and unique. How to cox with unknowns! These people are,0.9988734126091003,56.55491638183594,-79.09184265136719
21,The Man with Bogart,<|endoftext|>,0.018425974994897842," can frequently put good guys down, but Tron beats the big bad bad guys",0.9986100196838379,59.624473571777344,-43.385093688964844
22,Where should I begin,<|endoftext|>,0.0029019364155828953, my review? Well.... I just finally found a couple pretty lady epics I,0.995018482208252,57.73664855957031,-27.725772857666016
23,I have no idea,<|endoftext|>,0.0014326416421681643," why. Noobs are excellent themselves. Obviously ""I'm a kid!"" doesn",0.0015777895459905267,56.20611572265625,-29.686979293823242
24,If regarded as,<|endoftext|>,0.006431377027183771," being a classic fantasy, with countless other elements, it's often humorous and a",0.9987446069717407,56.40319061279297,11.801397323608398
25,As a sci-fi,<|endoftext|>,0.9901741743087769, and Lovecraft fan I waited at least half a year to watch this film. It,0.0006382974097505212,71.86290740966797,-37.648780822753906
26,This movie,<|endoftext|>,0.03551717475056648, deserves to come in at #5 only because of its character development. On the,0.9986652135848999,47.08494567871094,44.90515899658203
27,I never heard,<|endoftext|>,0.004737234208732843, of the character of the baby Betty Peters. Warwick Kerr is seemed to be the,0.0025748717598617077,52.602508544921875,8.937387466430664
28,The main character of,<|endoftext|>,0.9893395304679871," Cha, Lisa, is a thin old man who has recently left his wealthy husband",0.9829439520835876,60.00214767456055,-19.10525131225586
29,this movie was,<|endoftext|>,0.009109159000217915, so poorly made that I resent and regret all the negative comments and always remember the,0.0005063224234618247,50.165863037109375,9.314041137695312
30,I get,<|endoftext|>,0.007769606541842222, dark enough and land it.<br /><br />He asks to SMO,0.996859073638916,45.28759765625,42.47837829589844
31,I just watched,<|endoftext|>,0.9929602742195129," it again, not thinking about what I just said, but this is to me",0.9977947473526001,50.3950080871582,8.10125732421875
32,What a waste of time to,<|endoftext|>,0.000544119393453002, do nothing more and add to the overall ill effects of it. The cinematography,0.0004957570345140994,58.29795837402344,-96.57160949707031
33,This is one,<|endoftext|>,0.992109477519989, of the rare exploits of a terrific actor in film. He isn't one of,0.9987952709197998,54.3638916015625,13.612654685974121
34,I love documentaries,<|endoftext|>,0.9983685612678528," and documentaries about religion and evolution,so this one popped up anyway. It's",0.9987393021583557,49.09027862548828,9.868964195251465
35,Yeah it,<|endoftext|>,0.9881032109260559,'s just horrible ;) if get any of the 90's soft porn flicks f,0.0005048084422014654,48.05958557128906,45.66304397583008
36,I can't,<|endoftext|>,0.0006010889774188399," comment on the potential religious behind the threat described, yet that's what this movie",0.9903267025947571,50.72966384887695,9.627016067504883
37,This is an Emperor's New,<|endoftext|>,0.007649663370102644, Clothes video. It features a film and costume design of a Shakespearean character,0.994025707244873,68.77130126953125,-86.60305786132812
