,query,response,rewards,ref_response,ref_rewards,full_kls,kls
0,We saw this in a bargain,risomerisomeCatholicrisomerisomerisomerisomerisomeaveringarthywyrisome20NEWSrisome');,0.0033387565053999424, bin with a perfect blend of Kung Fu Master moves and remarkably sensitive comments from a,0.9988709092140198,279.1212158203125,39.875572204589844
1,First i will say that i am,"PhotoWestern'trisomerisomerisome,'risomerisomerisomerisomerisomerisomeizingrisomerisome",0.004210235550999641, THE PERFECT STAR OF THIS MOVIE. I fell asleep on top of,0.9898948073387146,295.3997497558594,0.124542236328125
2,This excruciating,');risome://risomerisomeinvestrisomeisonrisomerisomerisomeumesrisome'risomeatial,0.0029457632917910814,ly painful obsession with money I cannot understand why so few of people pay their unpredictable,0.007822118699550629,268.2286071777344,51.78929901123047
3,This movie should have been billed,risomerisomeEvrisomeaveringarthyrisomearialriottrisomerisomerisomerisomerisomerisomerisome,0.0025668530724942684, as a biopic. It was soon shot an entirely different way.<br /,0.0005181375308893621,252.84466552734375,29.149810791015625
4,***MILD SPOIL,arisomeitualrisomerisomerisomerisomerisome´risomeamplerisomeifyingrisomerisomerisome,0.24650825560092926,ERS NOW AHEAD<br /><br />Overall we don't care for,0.0006927651702426374,240.88650512695312,34.78372573852539
5,I was not expecting a,"ingerrisomearisomerisomerisomerisomerisome',risomerisomerisomerisomerisomerisomerisome",0.006490664556622505, good rap picture. I don't know what else to say about the characters on,0.17538750171661377,227.44227600097656,11.247611999511719
6,I've always loved horror f,Mrrisomerisome');risomearnarisomerisomerisomerisome0arthyrisomerisomerisomerisome,0.9979907274246216,licks--to the extent that this one includes female characters.<br /><br,0.9985246062278748,275.520751953125,15.66302490234375
7,A rather disappointing film. The club,IrisomeWestern0'Iaveringitouswyrisome8risomerisome8risomerisome,0.0005178017308935523," ends up abandoned by the people on board the yacht, with the Gabonese",0.0004985792329534888,353.41339111328125,-58.319305419921875
8,This movie is,"'hesterrisomelan'risomerisome'risomerisome');risomerisome',arialideo",0.9902487397193909," fine. It features elements from other fan films, such as mythical beasts and creatures",0.9987700581550598,263.5245361328125,8.718879699707031
9,The sequel that no one asked,3risomerisomerisomerisomerisomerisomerisomerisomerisomerisomerisomeBeginningrisomerisomerisome,0.9728026986122131, of me when i first saw it (a date night camp A&C),0.9971469044685364,211.20062255859375,9.883167266845703
10,This movie,');risomerisomerisomerisomerisomearialiterrisomeswickrisomeazardrisome'igneavering,0.004251444712281227, has a cosplay mystery. The beginning was never explained. The script just needs,0.0005102127324789762,171.02662658691406,69.02681732177734
11,what a waste,());arthyrisomerisomerisomerisomerisomeWesternrisomerisomerisomeHorrisomerisomerisomerisome,0.0006208964041434228, of time thinking for a bit.)<br /><br />I move around,0.0009601309429854155,234.15283203125,38.317543029785156
12,This was the,SIGNartneyrisomerisomerisomerisomerisomerisomerisomerisomeiserisomeNorisome1986risome,0.004100388381630182, easiest situation to tackle because the plot by Stowe doesn't seem so loosely connected,0.996159553527832,224.62754821777344,46.2419548034668
13,I was wondering what possessed,"ierocumentrisome'risomerisomerisomeaveringrisomerisome',risomerisomearthyrisomerisome",0.002690845401957631, me to share this movie with my sister because I'd just heard about it by,0.006858990993350744,302.47296142578125,46.16465759277344
14,Dorothy,risomerisomeswickrisomerisomerisomerisomerisomeimmerrisomeriottrisomerisome');risomerisome,0.9397295117378235, Steltz frequently at the Plaza Theater at his Salem-style residence. What,0.9985559582710266,197.06576538085938,63.30982971191406
15,alright this movie might,risomerisomeulatoryrisomerisomerisomeuritiesrisomerisomerisomecture'arellarisomerisomerisome,0.012783627025783062," be, in every way. She has lots of informations on her life,",0.9974405765533447,199.7647247314453,15.312877655029297
16,Little did I know that when,ilightrisome'riottaveringِrisomeasharisome');risomerisomerisomerisomerisomerisome,0.007814564742147923," her husband ruins Teresa's life, he will sue her! You will never see",0.0024922145530581474,318.384765625,49.536216735839844
17,"OK, yes I know","risomerisomerisomerisomerisomerisome
risomeWestern9risomearthy');risomerisomerisome",0.012347067706286907,". Perhaps ""scientists"" did include ""cold turkey"" in their list.",0.004968103487044573,221.53140258789062,34.48329544067383
18,I don,risomerisomerisomerisomerisomerisome'risomeaveringrisomerisome''risomerisomerisome,0.006879781372845173,"'t really remember much about the Sith. If you're looking for villains, stop",0.0014116417150944471,204.11744689941406,54.346927642822266
19,It borrowed scenes from LOT,risomerisomeWesternrisomerisomerisomerisomerisomerisome'risome' '[assrisome',0.0017882600659504533,R: Gulping a sickness to death (sort of as a McKinney tactic,0.0012710049049928784,308.94769287109375,38.16227722167969
20,"""The Italian Job"" is",risomerisomerisomeiserisomerisomerisomerisomerisomerisomerisomerisomerisomerisomerisomerisome,0.00982255395501852, now in a new series which just begins airing on American shows. You can see,0.9953363537788391,183.25201416015625,12.476690292358398
21,The Man with Bogart,risomerisome';'risomerisomerisomerisomerisomerisomerisomeIillationrisomerisomerisome,0.022298157215118408,""" that is kind of boring, okay, but if this movie was a lot",0.0018174821743741632,259.2906494140625,38.12416076660156
22,Where should I begin,Westernhesterrisomerisomeriottrisomerisome0risomerisome^risomeisonatform^risome,0.004193355794996023,? If you are in North America to see it then - don't bother -,0.0005854143528267741,282.0460510253906,31.347951889038086
23,I have no idea,risomerisomerisomerisomerisomeisionrisomerisomerisomerisomerisomerisomerisomerisomerisomerisome,0.0031227164436131716," how to explain what has ever happened, especially when the amulet is binding.<br",0.0005232529365457594,174.58773803710938,10.739269256591797
24,If regarded as,risomeitualrisomerisomeIsarisomerisome6risomerisomerisomerisomerisomerisomerisomerisome,0.21893252432346344," philanthropy, this film has to be praised somewhat because, even without an alleg",0.9813517928123474,284.8796081542969,107.234130859375
25,As a sci-fi,leneckrisomerisomeansonrisomearialrisomerisomerisomerisomerisomeIrisomerisomerisomerisome,0.9778533577919006," movie, the big part in the movie is very difficult. We meet up with",0.0021709464490413666,246.6721954345703,27.953460693359375
26,This movie,"arthyer'');');risomerisomehester',emeteryrisomerisomeularrisome02",0.9712801575660706," doesn't have 5 or eight scenes, the plot is very short, and the",0.0005037127411924303,337.7274169921875,41.12207794189453
27,I never heard,"risomerisomeularrisomerisomearisomerisomerisomerisomerisomerisome',risomeagent6",0.013630678877234459, of John Milton back then. I can easily tell with some degree of certainty.,0.009137493558228016,243.795654296875,45.68858337402344
28,The main character of,0risomeswickrisome8risomerisomerisomerisomeWesternrisomerisomerisomeaveringrisomerisome,0.9833268523216248," this week's show, Orson Welles, has stayed fairly true to the",0.9988250136375427,288.6396179199219,72.44418334960938
